Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (1002563.6992227704 240983.67301294883),MACOMBS DAM BRIDGE,Harlem River Shoreline,Harlem River Shoreline,0.0,0.0
2018,POINT (1008338.9008830852 256987.81390606824),BROADWAY,West 219 Street,West 220 Street,138.0,138.0
2018,POINT (980786.9283525413 199805.60818356037),MURRAY STREET,Dead End,West Street,22.0,22.0
2018,POINT (982231.2910439767 204343.92249753332),HUDSON STREET,Charlton Street,King Street,100.0,100.0
2018,POINT (983415.2827304859 213291.17110564065),WEST 29 STREET,High Line,11 Avenue,58.0,58.0
2018,POINT (986160.4435548312 221075.3355551486),12 AVENUE,Dead End,Dead end,242.0,242.0
2018,POINT (986224.8392246999 200991.06638814198),FORSYTH STREET,Grand Street,Broome Street,38.0,38.0
2018,POINT (988142.0595556787 221490.24664136246),WEST 65 STREET,Dead end,Amsterdam Avenue,49.0,49.0
2018,POINT (988272.0459703925 202819.9379106692),AVENUE A,Dead End,East 3 Street,98.0,98.0
2018,POINT (989833.1902966246 220259.11481368123),WEST 64 STREET,Broadway,8 Avenue Line,3.0,3.0
2018,POINT (990734.5716140385 221760.21703154923),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,242.0,242.0
2018,POINT (991493.5372602648 205645.63521145438),FDR DRIVE EXIT 7 NORTHBOUND,F D R Drive,Avenue C,4.0,4.0
2018,POINT (991974.7632044622 224250.16821106122),WEST 81 STREET,Columbus Avenue,79 St Transverse,108.0,108.0
2018,POINT (993256.5919971104 217326.2794700091),LEXINGTON AVENUE,East 61 Street,Astoria Line,231.0,231.0
2018,POINT (995126.2463940116 232852.55378496027),WEST 115 STREET,Amsterdam Avenue,Morningside Drive,1.0,1.0
2018,POINT (995156.408136993 229738.88505666723),8 AVENUE LINE,Central Park West,Central Park West,338.0,338.0
2018,POINT (995737.384829233 230787.24482344283),8 AVENUE LINE,Central Park West,Central Park West,17.0,17.0
2018,POINT (997793.1023793612 240917.51606322854),RIVERSIDE DRIVE,West 146 Street,West 147 Street,7.0,7.0
2018,POINT (998213.6719788199 225225.15324594613),3 AVENUE,East 95 Street,East 96 Street,433.0,433.0
2018,POINT (998692.6275297225 219915.8085719752),EAST 79 STREET,East End Avenue,F D R Drive,2.0,2.0
2019,POINT (1002336.4916926025 231154.2413965386),2 AVENUE,Dead End,East 123 Street,0.0,0.0
2019,POINT (1002419.8009704083 248805.75386272138),WEST 181 STREET,Broadway/ 7 Avenue Line,Wadsworth Avenue,59.0,59.0
2019,POINT (1002754.5374999298 235875.81836194085),MADISON AVENUE BRIDGE,Harlem River Shoreline,Harlem River Shoreline,248.0,248.0
2019,POINT (1004170.6634530823 247782.7882331651),WASHINGTON BRIDGE,Harlem River Shoreline,Harlem River Shoreline,536.0,536.0
2019,POINT (980777.624927884 200863.62012947293),WEST STREET,Tribeca Bridge,Dead end,553.0,553.0
2019,POINT (981465.2472871661 208108.87204597594),WEST STREET,Bike Path,Dead end,553.0,553.0
2019,POINT (985994.1581745299 206803.55744736578),EAST 12 STREET,5 Avenue,University Place,96.0,96.0
2019,POINT (986122.005150593 202533.27740684955),BOWERY,Prince Street,Stanton Street,320.0,320.0
2019,POINT (986474.7698761668 202235.20993612712),CHRYSTIE STREET,6 Avenue Line,6 Avenue Line,64.0,64.0
2019,POINT (987037.145866153 206995.33960903098),4 AVENUE,14 Street/canarsie Line,Lexington Avenue Line,170.0,170.0
2019,POINT (987884.0919930196 200136.02257949812),GRAND STREET,Suffolk Street,Clinton Street,0.0,0.0
2019,POINT (989452.9939818234 200146.54774321112),DELANCEY STREET,Sheriff Street,Columbia Street,17.0,17.0
2019,POINT (990208.7163999889 201556.45532573693),EAST HOUSTON STREET,Lillian Wald Drive,Avenue D,238.0,238.0
2019,POINT (991522.0772401361 210134.51944759974),1 AVENUE,East 33 Street,East 34 Street,57.0,57.0
2019,POINT (991533.7916378764 217378.41920635634),5 AVENUE,East 58 Street,East 57 Street,60.0,60.0
2019,POINT (991619.8110109323 211304.27661299054),QUEENS MIDTOWN TUNNEL APPROACH,East 37 Street,East 38 Street,10.0,10.0
2019,POINT (991651.7446566193 212624.15878857102),EAST 42 STREET,Alley,2 Avenue,79.0,79.0
2019,POINT (991762.5225589696 212118.1029866847),2 AVENUE,East 40 Street,East 41 Street,240.0,240.0
2019,POINT (992022.1099175046 212585.39085843187),2 AVENUE,East 43 Street,East 42 Street,296.0,296.0
2019,POINT (993231.3019383672 217780.07018915232),EAST 62 STREET,Park Avenue,Lexington Avenue,79.0,79.0
2019,POINT (994356.5232451803 222000.08653601454),EAST 78 STREET,5 Avenue,Madison Avenue,12.0,12.0
2020,POINT (1008845.5343071799 257557.10178422925),BROADWAY BRIDGE,Broadway,Harlem River Shoreline,21.0,21.0
